代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
0061,元大寶滬深,22.82,0.07,0.31,152,12月24日,22.8↘,23.2↘,23↗,22.7↗,22.7↘,23.4↘,21.5↗,20.1↗,18.9↗,17↗
006205,富邦上証,37.09,0.09,0.24,756,12月24日,37↘,37.4↘,37.2↗,36.9↗,36.8↘,37.8↘,35.1↗,33.5↗,31.9↗,28↗
006206,元大上證50,36.14,0.31,0.87,333,12月24日,36↘,36.4↘,36.1↗,35.7↗,35.6↘,37.5↘,35.4↗,34.2↗,32.2↗,
006207,FH滬深,30,0.1,0.33,328,12月24日,29.9↘,30.3↘,30.1↗,29.8↗,29.7↘,30.6↘,28.1↗,26.3↗,24.6↗,
00625K,富邦上証+R,8.66,0,0,0,12月24日,8.72↘,8.76↘,8.63↗,8.57↗,8.57↘,8.8↘,8.22↗,7.75↗,7.26↗,
00632R,元大台灣50反1,5.21,0,0,"69,516",12月24日,5.25↘,5.27↘,5.3↘,5.44↘,5.49↘,5.83↘,7.61↘,9.01↘,10.8↘,
00633L,富邦上証正2,56.4,0.75,1.35,"6,739",12月24日,56↘,57.4↘,56.3↗,55.5↗,55.7↘,63.4↘,57↗,52.3↗,47.6↗,
00634R,富邦上証反1,3.89,-0.04,-1.02,300,12月24日,3.92↗,3.87↗,3.91↘,3.96↘,4.01↗,3.93↘,4.58↘,5.23↘,6.27↘,
00635U,期元大S&P黃金,24,0.01,0.04,534,12月24日,23.9↗,23.8↗,23.8↗,23.9↗,23.9↗,24.2↘,24.4↗,23↗,21.6↗,
00636,國泰中國A50,25.31,0.15,0.6,436,12月24日,25.2↘,25.5↘,25.3↗,25↗,24.9↘,26.4↘,24.5↗,23.2↗,21.5↗,
00636K,國泰中國A50+U,9.12,0.08,0.88,0,12月24日,9.06↗,9.17↘,9.1↗,8.99↗,8.94↘,9.45↘,8.54↗,7.92↗,,
00637L,元大滬深300正2,22.38,0.29,1.31,"52,740",12月24日,22.2↘,22.8↘,22.4↗,22.1↗,22.1↘,25.1↘,22.3↗,20.3↗,18.3↗,
00639,富邦深100,16.53,-0.05,-0.3,535,12月24日,16.5↘,16.8↘,16.8↘,16.5↗,16.5↘,16.8↗,14.9↗,13.2↗,12↗,
00641R,富邦日本反1,10.08,-0.03,-0.3,30,12月24日,10.2↘,10.1↘,10.2↗,10.1↗,10.3↘,10.6↘,12.3↘,13.3↘,14.2↘,
00648R,元大S&P500反1,6.42,-0.01,-0.16,"2,131",12月24日,6.5↘,6.48↘,6.52↘,6.64↘,6.79↘,7.29↘,8.87↘,10.1↘,11.9↘,
00650L,FH香港正2,19.89,0.04,0.2,"2,263",12月24日,19.6↘,20.1↘,20.6↘,22.4↘,23.9↘,27.1↘,25.7↘,27↘,28.2↘,
00654R,富邦印度反1,8.5,0.09,1.07,158,12月24日,8.53↗,8.43↗,8.39↗,8.18↗,8.47↘,9.13↘,11.4↘,12.3↘,13.7↘,
00655L,國泰中國A50正2,42.6,0.65,1.55,"2,107",12月24日,42.2↘,43.2↘,42.4↗,41.8↗,41.9↘,47.7↘,42.4↗,38.5↗,34.9↗,
00657,國泰日經225,34.51,0.03,0.09,11,12月24日,34.2↗,34.4↘,34.2↘,34.8↘,34.7↘,35↗,31.5↗,29.9↗,28.2↗,
00657K,國泰日經225+U,12.47,0.05,0.4,0,12月24日,12.3↗,12.3↗,12.3↘,12.5↘,12.5↘,12.5↗,11↗,10.2↗,,
00664R,國泰臺灣加權反1,5.9,-0.01,-0.17,"5,124",12月24日,5.94↘,5.96↘,6↘,6.16↘,6.22↘,6.61↘,8.65↘,10.2↘,12.3↘,
00665L,富邦恒生國企正2,14.14,-0.02,-0.14,440,12月24日,14↘,14.4↘,14.8↘,16.2↘,17.5↘,21.7↘,22.2↘,23.7↘,25.8↘,
00669R,國泰美國道瓊反1,7.6,-0.01,-0.13,"1,040",12月24日,7.68↘,7.65↘,7.71↘,7.75↘,7.83↘,8.21↘,9.77↘,10.8↘,12.5↘,
00671R,富邦NASDAQ反1,4.9,-0.02,-0.41,"1,664",12月24日,4.99↘,4.97↘,4.96↗,5.09↘,5.22↘,5.68↘,7.3↘,9.19↘,,
00673R,期元大S&P原油反1,13.75,-0.03,-0.22,"1,249",12月24日,14.2↘,14.2↘,14.3↗,13.6↘,14.5↘,16.9↘,22.3↗,20↘,19.1↘,
00674R,期元大S&P黃金反1,12.99,-0.02,-0.15,98,12月24日,13.1↘,13.1↘,13.1↘,13.1↘,13.2↘,13.2↗,13.6↘,15.2↘,17.1↘,
00676R,富邦臺灣加權反1,3.23,0.01,0.31,"3,676",12月24日,3.25↘,3.26↘,3.28↘,3.37↘,3.39↘,3.61↘,4.7↘,5.55↘,6.67↘,
00678,群益NBI生技,27.03,-0.03,-0.11,324,12月24日,27.1↗,26.8↗,26.8↘,27.6↘,28.7↘,28.4↘,26.6↗,25↗,,
00681R,元大美債20反1,13,0.11,0.85,31,12月24日,12.9↗,12.9↗,12.9↘,13.2↘,13.2↘,13.6↗,13.4↘,14.6↘,,
00684R,期元大美元指反1,17.83,0,0,0,12月24日,17.8↗,17.8↘,17.8↘,18.1↘,18.4↘,18.8↘,18.6↘,18.8↘,,
00686R,群益臺灣加權反1,3.51,-0.01,-0.28,765,12月24日,3.53↘,3.55↘,3.57↘,3.67↘,3.7↘,3.93↘,5.12↘,6.05↘,,
00689R,國泰20年美債反1,13.65,0.09,0.66,2,12月24日,13.6↗,13.6↗,13.5↘,13.9↘,13.9↘,14.2↗,13.8↘,15.1↘,,
00693U,期街口S&P黃豆,20.89,-0.23,-1.09,453,12月24日,20.8↗,20.4↗,20.2↗,20↗,20.8↘,21.3↗,18.2↗,17.4↗,,
00694B,富邦美債1-3,36.9,0.09,0.24,101,12月24日,36.9↗,36.9↗,36.8↗,37↘,37.1↘,37.4↘,38.6↘,39.5↘,,
00695B,富邦美債7-10,36.95,0.15,0.41,171,12月24日,37→,36.9↗,36.8↗,36.7↗,37.1↘,37.3↘,39.1↘,39.3↘,,
00697B,元大美債7-10,38.8,-0.06,-0.15,306,12月24日,39↘,39.1↘,39↗,38.9↘,39.3↘,39.6↘,41.5↘,41.6↘,,
00700,富邦恒生國企,14.7,-0.01,-0.07,223,12月24日,14.7↘,14.9↘,15.1↘,15.7↘,16.3↘,18↘,18.5↘,19.1↘,,
00703,台新MSCI中國,19,0.13,0.69,5,12月24日,18.7↗,18.9↘,19.3↘,20.3↘,21.1↘,23.4↘,22.8↘,21.9↘,,
00706L,期元大S&P日圓正2,14.56,-0.03,-0.21,34,12月24日,14.6↘,14.7↘,14.7↗,14.8↘,15.3↘,16.1↘,16.8↘,17.2↘,,
00708L,期元大S&P黃金正2,26.08,0.02,0.08,785,12月24日,25.9↗,25.7↗,25.6↗,25.8↗,26↗,26.6↘,27.5↗,24.9↗,,
00710B,FH彭博高收益債,17.88,0.02,0.11,411,12月24日,17.9↘,18↘,18↘,18.1↘,18.2↘,18.3↘,18.6↘,19.3↘,,
00711B,FH彭博新興債,20.11,-0.09,-0.45,108,12月24日,20.3↘,20.3↘,20.2↗,20.1↘,20.3↘,20.4↘,21.2↘,21.2↗,,
00712,FH富時不動產,13.42,0.09,0.68,"3,886",12月24日,13.2↗,13.4↘,13.6↘,14.1↘,14.1↘,14↗,13.2↘,14.9↘,,
00717,富邦美國特別股,16.61,-0.02,-0.12,747,12月24日,16.6↗,16.6↗,16.5↗,16.7↘,16.9↘,16.8↘,17↘,17.9↘,,
00719B,元大美債1-3,29.67,-0.01,-0.03,101,12月24日,29.7↘,29.7↗,29.7↘,29.8↘,29.9↘,30.1↘,30.9↘,31.4↘,,
00723B,群益15年IG科技債,41.84,-0.33,-0.78,102,12月24日,42.1↘,42.3↘,42.4↗,42.2↘,42.6↘,42.4↘,44.3↘,43.5↗,,
00724B,群益10年IG金融債,41.83,-0.07,-0.17,122,12月24日,41.9↘,41.9↗,41.9↗,41.8↘,42.2↘,42↘,43.3↘,42.6↗,,
00725B,國泰投資級公司債,43.93,-0.22,-0.5,129,12月24日,44.1↘,44.2↘,44.1↗,44.1↘,44.4↘,43.9↘,44.3↘,43.9↗,,
00726B,國泰5Y+新興債,41.37,-0.26,-0.62,101,12月24日,41.5↘,41.5↗,41.3↗,41.4↘,41.9↘,42.1↘,43.1↘,43.4↗,,
00727B,國泰1-5Y高收債,37.73,-0.01,-0.03,122,12月24日,37.7↗,37.7↗,37.6↗,37.9↘,38.1↘,38.2↘,38.7↘,40.2↘,,
00730,富邦臺灣優質高息,19.69,0.01,0.05,231,12月24日,19.6↗,19.5↗,19.5↗,19.7↘,20.4↘,20.3↗,18.8↗,18.6↗,,
00734B,台新JPM新興債,19.28,-0.07,-0.36,"1,003",12月24日,19.4↘,19.4↘,19.3↗,19.3↘,19.6↘,19.7↘,20.5↘,21↘,,
00736,國泰新興市場,21.86,0.08,0.37,101,12月24日,21.6↗,21.8↘,21.8↘,22.3↘,22.5↘,23↘,21.2↗,20.6↗,,
00738U,期元大道瓊白銀,23.3,0.01,0.04,266,12月24日,23↗,22.8↗,22.9↘,23.8↗,24.5↘,26↘,24.1↗,22.3↗,,
00740B,富邦全球投等債,47.21,-0.31,-0.65,109,12月24日,47.4↘,47.5↘,47.5↗,47.5↘,47.9↘,47.3↘,48↘,47.2↗,,
00741B,富邦全球高收債,36.76,0,0,102,12月24日,36.7↗,36.7↗,36.6↗,36.9↘,37.1↘,37.4↘,37.8↘,39↘,,
00746B,富邦A級公司債,43.93,-0.06,-0.14,100,12月24日,44↗,44↗,44↗,44↘,44.4↘,44.2↘,45.9↘,45.2↗,,
00749B,凱基新興債10+,42.1,-0.15,-0.36,102,12月24日,42.3↘,42.3↗,42↗,41.8↘,42.4↘,42.8↘,44.7↘,44.6↗,,
00750B,凱基科技債10+,42.79,-0.31,-0.72,100,12月24日,43.1↘,43.2↘,43.3↗,43.1↘,43.6↘,43.5↘,45.5↘,44.8↗,,
00751B,元大AAA至A公司債,44.36,-0.09,-0.2,87,12月24日,44.4↘,44.6↘,44.8↗,44.6↘,45↘,44.6↘,46.6↘,45.9↗,,
00752,中信中國50,21.22,-0.04,-0.19,"1,346",12月24日,21.1↗,21.5↘,22↘,23.5↘,24.5↘,27.5↘,26.8↘,25.4↘,,
00753L,中信中國50正2,20.82,-0.12,-0.57,"1,310",12月24日,20.6↘,21.3↘,22.2↘,24.6↘,26.7↘,33.4↘,31.4↘,29↘,,
00754B,群益AAA-AA公司債,45.63,-0.32,-0.7,106,12月24日,45.9↘,46↘,46↗,46↘,46.3↘,45.8↘,47.7↘,46.9↗,,
00755B,群益15年IG公用債,43.22,-0.3,-0.69,111,12月24日,43.5↘,43.6↘,43.7↗,43.7↘,44.1↘,43.9↘,45.5↘,44.9↗,,
00756B,群益15年EM主權債,43.7,-0.05,-0.11,112,12月24日,43.9↘,44↗,43.6↗,43.6↗,44.2↘,44.5↘,46.6↘,46.5↗,,
00758B,FH能源債,61.6,-0.4,-0.65,100,12月24日,61.9↘,62↘,62↗,62.3↘,62.7↘,61.8↘,62↘,63.6↗,,
00759B,FH製藥債,69.2,-0.5,-0.72,100,12月24日,69.5↘,69.5↘,69.6↗,69.7↘,70.4↘,69.9↘,72.6↘,71↗,,
00760B,FH新興企業債,63.45,-0.35,-0.55,100,12月24日,63.7↘,63.8↘,63.4↗,63.7↘,64.5↘,64.8↘,65.9↘,66.3↗,,
00761B,國泰A級公司債,45.41,-0.37,-0.81,110,12月24日,45.7↘,45.8↘,45.8↗,45.7↘,46.1↘,45.8↘,47.7↘,46.9↗,,
00771,元大US高息特別股,18.82,-0.03,-0.16,6,12月24日,18.8↘,18.8↗,18.8↗,19↘,19.1↘,19.1↘,19.1↘,,,
00772B,中信高評級公司債,43.91,-0.06,-0.14,686,12月24日,44↘,44↗,44.1↗,44↘,44.4↘,44.3↘,46.1↘,,,
00773B,中信優先金融債,44.8,-0.08,-0.18,236,12月24日,44.9↘,44.9↘,44.9↗,44.8↘,45.1↘,44.9↘,46.6↘,,,
00775B,新光投等債15+,41.95,-0.13,-0.31,2,12月24日,42.1↘,42.1↗,42.1↗,42.1↘,42.6↘,42.2↘,43.8↘,,,
00777B,凱基AAA至A公司債,42.95,-0.31,-0.72,102,12月24日,43.2↘,43.3↘,43.5↗,43.4↘,43.8↘,43.5↘,45.4↘,,,
00778B,凱基金融債20+,44.59,-0.3,-0.67,100,12月24日,44.8↘,45↘,45.2↘,45.1↘,45.4↘,45↘,46.5↘,,,
00780B,國泰A級金融債,39.8,-0.2,-0.5,100,12月24日,40↘,40↗,39.9↗,40.1↘,40.6↘,40.7↘,41.8↘,,,
00781B,國泰A級科技債,41.91,-0.36,-0.85,101,12月24日,42.2↘,42.4↘,42.6↘,42.4↘,42.8↘,42.7↘,44.9↘,,,
00782B,國泰A級公用債,41.52,-0.32,-0.76,102,12月24日,41.8↘,41.9↘,42↘,42↘,42.4↘,42.3↘,44.2↘,,,
00784B,富邦中國投等債,36.52,-0.07,-0.19,150,12月24日,36.6↘,36.6↗,36.5↗,36.5↘,36.9↘,37.3↘,38.8↘,,,
00785B,富邦金融投等債,42.63,-0.2,-0.47,171,12月24日,42.8↘,42.8↘,42.8↗,42.8↘,43.2↘,43↘,44.3↘,,,
00786B,元大10年IG銀行債,40.88,-0.26,-0.63,105,12月24日,41.1↘,41.2↘,41.2↗,41.3↘,41.7↘,41.5↘,43↘,,,
00787B,元大10年IG醫療債,42.24,-0.29,-0.68,143,12月24日,42.5↘,42.7↘,42.8↘,42.8↘,43.2↘,42.8↘,44.3↘,,,
00788B,元大10年IG電能債,40.21,-0.31,-0.77,134,12月24日,40.5↘,40.6↘,40.6↗,40.6↘,41↘,40.8↘,42.6↘,,,
00789B,FH公司債A3,64.65,-0.45,-0.69,100,12月24日,65.1↘,65.2↘,65.4↗,65.2↘,65.7↘,65.2↘,67.9↘,,,
00790B,FH次順位IG金融債,62.45,-0.4,-0.64,100,12月24日,62.9↘,62.9↘,63↗,63.1↘,63.7↘,63.6↘,65.5↘,,,
00791B,FH美元信用債1-5Y,54.15,-0.05,-0.09,100,12月24日,54.3↘,54.3→,54.2↘,54.9↘,55.3↘,55.9↘,57.5↘,,,
00792B,群益A級公司債,42.17,-0.11,-0.26,107,12月24日,42.3↘,42.4↘,42.6↗,42.4↘,42.8↘,42.5↘,44.3↘,,,
00793B,群益AAA-A醫療債,41.27,0.01,0.02,124,12月24日,41.3↘,41.6↘,41.8↗,41.7↘,42.3↘,42.1↘,44.1↘,,,
00799B,國泰A級醫療債,41.97,-0.17,-0.4,100,12月24日,42.1↘,42.1↗,42.1↗,42.1↘,42.4↘,42↘,43.7↘,,,
008201,BP上證50,118.9,0,0,0,12月24日,119↘,121↘,120↗,119↗,118↘,122↘,116↗,111↗,104↗,87.1↗
00831B,新光美債1-3,35.89,0,0,50,12月24日,35.9↘,36↗,36↘,36.1↘,36.3↘,36.5↘,37.8↘,,,
00834B,第一金金融債10+,41.97,0,0,100,12月24日,42→,42↗,42.1↗,42↘,42.4↘,42.3↘,43.7↘,,,
00836B,永豐10年A公司債,39.28,-0.38,-0.96,103,12月24日,39.6↘,39.8↘,39.9↘,39.7↘,40.1↘,39.9↘,41.8↘,,,
00840B,凱基IG精選15+,39.23,-0.3,-0.76,100,12月24日,39.5↘,39.5↘,39.6↗,39.6↘,40↘,39.7↘,41.4↘,,,
00841B,凱基AAA-AA公司債,39.7,-0.35,-0.87,100,12月24日,40↘,40.1↘,40.2↗,40.1↘,40.4↘,40↘,41.8↘,,,
00842B,台新美元銀行債,40.06,-0.2,-0.5,100,12月24日,40.2↘,40.3↘,40.3↗,40.3↘,40.8↘,40.6↘,41.7↘,,,
00844B,新光15年IG金融債,39.35,-0.3,-0.76,2,12月24日,39.6↘,39.7↘,39.7↗,39.8↘,40.2↘,40↘,41.3↘,,,
00845B,富邦新興投等債,36.29,-0.08,-0.22,106,12月24日,36.4↘,36.4↗,36.2↗,36.4↘,36.8↘,37.1↘,37.7↘,,,
00846B,富邦歐洲銀行債,36.47,-0.11,-0.3,100,12月24日,36.6↘,36.7→,36.5↗,36.8↘,37.3↘,37.5↘,38.6↘,,,
00847B,中信美國市政債,35.3,-0.27,-0.76,205,12月24日,35.6↘,35.6↘,35.6↗,35.4↗,35.6↗,35.3↘,37.2↘,,,
00848B,中信新興亞洲債,37.18,-0.18,-0.48,101,12月24日,37.4↘,37.4↗,37.2↗,37.1↘,37.5↘,37.6↘,38.6↘,,,
00849B,中信EM主權債0-5,35.7,0,0,100,12月24日,35.7↘,35.7↗,35.7↘,36↘,36.2↘,36.5↘,37.6↘,,,
00853B,統一美債10年Aa-A,35.3,-0.16,-0.45,2,12月24日,35.5↘,35.7↘,35.7↘,35.7↘,36.1↘,35.7↘,37.1↘,,,
00856B,永豐1-3年美公債,35.72,-0.06,-0.17,100,12月24日,35.8↘,35.9↘,35.9↘,36↘,36.1↘,36.4↘,37.6↘,,,
00857B,永豐20年美公債,36.07,-0.43,-1.18,113,12月24日,36.5↘,36.6↘,36.8↗,36.1↗,36.4↘,36.5↘,39.6↘,,,
00859B,群益0-1年美債,35.57,-0.03,-0.08,100,12月24日,35.6↘,35.7↘,35.7↘,35.8↘,35.9↘,36.1↘,37.2↘,,,
00860B,群益1-5年IG債,36.43,-0.06,-0.16,100,12月24日,36.5↘,36.5↗,36.5↗,36.8↘,37↘,37.3↘,38.2↘,,,
00863B,中信全球電信債,39.37,-0.15,-0.38,113,12月24日,39.5↘,39.6↘,39.8↗,39.6↘,40↘,39.5↘,40.7↘,,,
00864B,中信美國公債0-1,36.49,-0.02,-0.05,100,12月24日,36.6↘,36.6↗,36.5↘,36.6↗,36.6↘,36.7↘,37.8↘,,,
00865B,國泰US短期公債,36.47,0,0,105,12月24日,36.5↘,36.6↗,36.5↘,36.6↗,36.6↘,36.7↘,37.8↘,,,
00867B,新光A-BBB電信債,39.58,-0.24,-0.6,5,12月24日,39.8↘,39.9↘,40↗,39.9↘,40.3↘,39.7↘,40.9↘,,,
00870B,元大15年EM主權債,37.87,-0.13,-0.34,102,12月24日,38.1↘,38.1↘,37.9↗,37.6↗,38↘,38.1↘,,,,
00875,國泰網路資安,30.9,0.06,0.19,83,12月24日,30.6↗,30.4↗,30.5↘,31.9↘,32.1↘,31.5↗,,,,
01001T,土銀富邦R1,17.91,0,0,128,12月24日,17.9↗,17.8↗,17.8↗,17.5↗,17.5↗,18↘,17.5↗,16.8↗,15.6↗,16↗
01002T,土銀國泰R1,18.11,0,0,113,12月24日,18.1↗,18.1↗,18↗,17.9↗,17.9↗,18.2↘,18↗,17.2↗,16↗,16.9↗
01004T,土銀富邦R2,15.73,0,0,222,12月24日,15.7↗,15.7↗,15.7↗,15.7↗,15.8↘,16.5↘,15.8↗,14.9↗,14↗,13.6↗
01007T,兆豐國泰R2,19.86,0,0,1,12月24日,19.8↗,19.7↗,19.8↗,19.9↗,19.7↘,20↘,19↗,18.1↗,16.5↗,16.1↗
01009T,王道圓滿R1,9.09,0,0,46,12月24日,9.12↘,9.11↗,9.1↗,9.09↗,9.08↘,9.28↘,9.42↘,9.3↗,,
01010T,京城樂富R1,10.31,0,0,10,12月24日,10.3→,10.3↗,10.3↗,10.5↘,10.6↘,10.7↘,10.5↗,10.3↗,,
020000,富邦特選蘋果N,7.25,0.02,0.28,12,12月24日,7.18↗,7.1↗,7.05↗,6.94↗,7.2↘,7.35↗,6.42↗,,,
020002,元富新中國N,15.27,0,0,0,12月24日,15.2↘,15.5↘,15.7↘,16.2↘,16.7↘,18.7↘,17.6↗,,,
020009,群益A50綠碳N,26.72,0,0,0,12月24日,26.8↘,27.2↘,26.9↗,26.6↗,26.7↘,27.3↗,24.4↗,,,
020013,元富亞洲高股息N,15.32,0.11,0.72,2,12月24日,15.2↗,15.2↗,15.1↗,15.3↗,15.4↘,15.6↗,,,,
02001L,富邦蘋果正二N,11.12,0.07,0.63,132,12月24日,10.9↗,10.7↗,10.5↗,10.2↗,11.1↘,11.6↗,,,,
02001R,富邦蘋果反一N,2.96,0,0,0,12月24日,2.98↘,3↘,3.02↘,3.08↘,3↗,2.99↘,,,,
020021,統一恒生科技N,6.92,-0.04,-0.57,664,12月24日,6.92↘,7.07↘,7.25↘,7.63↘,8.03↘,9.31↘,,,,
1101,台泥,47.9,0.2,0.42,"6,034",12月24日,47.5↗,47.3↗,47.1↗,48.3↘,49.4↘,48↗,45.3↗,43.7↗,41.1↗,39.7↗
1101B,台泥乙特,52.1,0,0,346,12月24日,52.1↘,52.2↘,52.2↘,52.1↗,52.4↘,53.1↘,53.5↘,,,
1102,亞泥,44.25,-0.05,-0.11,"2,659",12月24日,43.9↗,43.5↗,43.1↗,44.3↘,46.1↘,46.3↗,44.8↘,43.8↗,38.5↗,36.9↗
1103,嘉泥,20.5,0.05,0.24,352,12月24日,20.5↘,20.4↘,20.4↘,20.5↘,21.2↘,20.8↗,19.2↗,18.2↗,15.7↗,14.3↗
1104,環泥,21.6,0,0,202,12月24日,21.6↗,21.5→,21.4↗,21.1↗,21.6↘,22.2↘,20.5↗,20.1↗,21.1↘,21.6↗
1108,幸福,11.7,0.05,0.43,89,12月24日,11.7↘,11.6↗,11.5↘,11.8↘,12.2↘,12.8↘,11.1↗,9.79↗,9.31↗,8.91↗
1109,信大,20.2,0,0,139,12月24日,20.2↗,20.1↗,20.1↘,20.8↘,22.1↘,22.6↗,20.4↗,19.2↗,16.5↗,13.9↗
1203,味王,32.25,-0.05,-0.15,10,12月24日,32.3↘,32.3↘,32.6↘,32.6↘,32.9↘,34.6↘,32.4↗,30.4↗,28.2↗,25.2↗
1210,大成,52.7,0,0,682,12月24日,52.5↗,52.5→,52.4↘,53↘,55.2↘,54.6↗,48.9↗,45↗,40.4↗,33.5↗
1213,大飲,8.2,0,0,0,12月24日,8.2↘,8.22↘,8.3↘,8.28↘,8.44↘,8.32↗,7.86↗,8.67↘,11.7↘,16.4↘
1216,統一,68.5,0.2,0.29,"1,501",12月24日,68.1↗,68.2↘,67.9↗,67.7↘,69.7↘,70.3↗,69.7↘,71.6↘,69.2↗,61.3↗
1218,泰山,27.2,0.2,0.74,311,12月24日,27↘,27.1↗,27↘,27.3↘,28↘,28.5↗,25.6↗,23.7↗,21.1↗,17.4↗
1219,福壽,19.75,0,0,473,12月24日,19.7↘,19.8↘,20.1↘,20.7↘,21.1↘,21.5↘,20.3↗,19.6↗,18.8↗,17↗
1227,佳格,52.9,-0.4,-0.75,"1,160",12月24日,53.4↘,53↗,52.1↗,51.8↗,52.3↘,54.3↘,59.4↘,58.7↗,62.8↘,73↘
1233,天仁,34.15,-0.15,-0.44,15,12月24日,34.3↘,34.3↗,34.1↗,33.5↗,34↘,34.6↘,35.6↘,36.5↘,36.6↘,40.6↘
1240,茂生農經,51.1,-0.2,-0.39,19,12月24日,51.4↘,51.3↘,51.3↘,51.3↘,52.6↘,53.3↘,54↘,51.5↗,,
1256,鮮活果汁-KY,316,-3.5,-1.1,41,12月24日,320↘,322↘,332↘,356↘,403↘,399↗,314↗,271↗,222↗,
1259,安心,68.4,0,0,5,12月24日,68.7↘,68.8↘,69.1↘,69.7↘,69.6↗,68.9↘,69.1↘,69.1↗,74↘,
1268,漢來美食,111,0.5,0.45,18,12月24日,111↗,111↘,114↘,119↘,124↘,128↘,128↘,130↘,,
1305,華夏,34.6,0,0,"3,433",12月24日,34.3↗,33.9↗,34.2↘,37.1↘,37.6↘,35.1↗,27.3↗,25.5↗,26.8↗,20.6↗
1307,三芳,20.85,-0.05,-0.24,52,12月24日,20.8↗,20.7→,20.7↘,21.2↘,21.9↘,21.8↘,21.7↘,22.5↘,26.6↘,28.9↘
1309,台達化,33.95,0.05,0.15,743,12月24日,33.8↗,33.6↗,33.8↘,35↘,38.6↘,39.1↗,28.5↗,22.6↗,18.4↗,14.1↗
1310,台苯,17.25,0.05,0.29,838,12月24日,17.2↗,17.2→,17.2↘,18↘,19.3↘,19.2↘,18↘,19.8↘,20.8↘,17.3↗
1313,聯成,21.45,0.1,0.47,"2,996",12月24日,21.2↗,21.1↗,21.2↘,22.5↘,23.8↘,22.8↗,17.1↗,15.2↗,15.4↗,14.2↗
1319,東陽,32.9,0.25,0.77,605,12月24日,32.7↘,32.8↘,33↘,33.4↘,34.3↘,35.2↘,36.6↘,38.8↘,44.5↘,41.4↗
1321,大洋,34.9,-0.1,-0.29,20,12月24日,34.8↗,34.8↘,35↘,34.1↗,34.5↘,35.3↘,34.1↘,32.4↗,30.4↗,30.3↗
1325,恆大,44.85,-0.1,-0.22,360,12月24日,45↘,44.9↘,45.5↗,42.3↘,52.2↘,70.7↘,87.4↗,63.7↗,45.9↗,32.5↗
1326,台化,80.4,0,0,"1,202",12月24日,79.9↗,79.6↗,79.7↗,80.9↘,82↘,83.9↘,79.3↘,85.9↘,92.7↘,84.5↘
1336,台翰,21.2,0.2,0.95,48,12月24日,20.9↗,20.8↗,20.6↗,20.8↘,21.9↘,23↘,19.7↗,18.1↗,17.2↗,14.2↗
1337,再生-KY,7.25,0,0,266,12月24日,7.2↗,7.17↗,7.14→,7.23↘,7.4↘,7.87↘,6.88↗,6.75→,8.98↘,32.1↘
