代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
1338,廣華-KY,54.5,0.1,0.18,46,12月24日,54.2↗,55↘,53.4↗,50.2↗,54.5↘,59.9↘,57.8↘,61.9↘,77.5↘,
1339,昭輝,34.55,0.05,0.14,18,12月24日,34.7↘,34.8↘,34.5↗,34.4↘,35.7↘,37.9↘,41↘,40.2↘,40.7↘,
1341,富林-KY,67.8,0,0,3,12月24日,67.9↗,67.7↗,67.6↘,67.8↗,70.7↘,70.4↗,64.9↗,,,
1402,遠東新,28.9,0.1,0.35,"3,789",12月24日,28.6↗,28.5↗,28.5↗,29.1↘,29.8↘,29.9↗,28.5↘,29.1↗,28.4↗,29.5↘
1432,大魯閣,11.85,-0.9,-7.06,"1,778",12月24日,12.6↘,12.7↘,12.8↘,12.9↘,13.1↘,13.8↘,11.5↗,10.3↗,11.3↘,15.2↗
1434,福懋,29.4,0.8,2.8,"9,529",12月24日,28.4↗,28.6↗,28.8↗,29.5↘,30.4↘,30.7↘,31.7↘,33↘,32.6↘,31.4↗
1439,中和,23.4,-0.05,-0.21,1,12月24日,23.4↘,23.5↘,23.6↘,22.9↗,23↘,24.3↘,28.5↘,29.3↘,27.9↗,21.5↗
1444,力麗,11.2,0.05,0.45,"2,033",12月24日,11.1↗,11.1↗,11.1↘,11.3↗,11.5↘,12↘,10.7↗,10.3↗,10.3↗,10.1↗
1447,力鵬,10.25,0,0,"1,430",12月24日,10.2↗,10.2→,10.1↘,10.4↘,10.8↘,10.7↗,8.73↗,8.28↗,8.32↗,9.32↗
1449,佳和,15.05,0.05,0.33,88,12月24日,15↗,15↗,15↘,15.2↘,15.7↘,18.4↘,16.9↗,13↗,9.9↗,6.55↗
1455,集盛,16.5,0,0,"1,815",12月24日,16.6↘,16.6↘,16.5↘,17.1↘,18.7↘,17.2↗,12.4↗,11.2↗,10.9↗,10.3↗
1460,宏遠,9.43,-0.03,-0.32,"1,748",12月24日,9.44↘,9.48↘,9.49↘,9.65↘,10.6↘,10.1↘,9.45↘,9.99↘,11.9↘,12↗
1464,得力,15.8,0.05,0.32,258,12月24日,15.7↗,15.5↗,15.4↗,15.6↘,16.3↘,17↘,18.7↘,20.3↘,22.3↘,19.6↗
1465,偉全,12.75,0.2,1.59,151,12月24日,12.6↗,12.5↗,12.4↗,12.6↘,12.8↘,12.9↘,13.7↘,13.9↘,14↗,14.6↘
1466,聚隆,15.15,-0.15,-0.98,228,12月24日,15.2→,15.2↘,15.2↘,15.5↘,16.6↘,17↘,15.4↗,13.2↗,12.5↗,15.2↘
1467,南緯,13.85,0.05,0.36,450,12月24日,13.8↗,13.8↘,13.9↘,14↘,14.5↘,16.7↘,16.2↗,13.8↗,12.6↗,12.5↗
1468,昶和,12.9,0.05,0.39,77,12月24日,12.8→,12.9↘,13↘,12.9↗,12.4↗,13↘,12.2↗,11.5↗,11↗,10.7↗
1473,台南,18,0.05,0.28,43,12月24日,18→,18↗,17.9↗,17.9↗,17.9↘,18↘,19.5↘,20.8↗,22↘,26.7↘
1512,瑞利,3.76,-0.01,-0.27,82,12月24日,3.76↘,3.75→,3.74↘,3.75↗,4.04↘,4.33↘,4.3↘,4.85↘,7↘,6.93↘
1513,中興電,44.9,0.1,0.22,"3,610",12月24日,44.1↗,43.7↗,44.2↘,44.2↘,46.2↘,48.7↘,41.4↗,34.5↗,29↗,23.6↗
1515,力山,56.8,-0.3,-0.53,509,12月24日,57.1↗,56.6↘,59.3↘,63.8↘,69.3↘,75.5↘,74.7↘,77.4↘,62↗,35.8↗
1519,華城,36.35,-0.35,-0.95,283,12月24日,36.6↘,36.5↗,35.8↗,36.3↘,38.4↘,41.9↘,38.6↗,33.6↗,28.3↗,21.7↗
1521,大億,40.5,0.4,1,76,12月24日,40.3↗,40.5↘,41.1↘,42↘,43.1↘,47.3↘,52.5↘,55.5↘,64.4↘,65.9↘
1522,堤維西,19.1,0.1,0.53,244,12月24日,19↗,19→,19.1↘,19.5↘,20.2↘,21.6↘,22.5↘,24.2↘,27.2↘,22.9↗
1525,江申,60.7,-0.4,-0.65,17,12月24日,60.5↗,59.9↗,59.7↘,60.9↘,64.2↘,67.3↘,60.8↗,60.2↗,72.9↘,70.9↗
1526,日馳,48.15,-0.45,-0.93,114,12月24日,48.3→,48.7↘,48.8↘,47.8↘,50.3↘,48.8↗,41.3↗,37.7↗,37.3↗,24.1↗
1527,鑽全,42.9,0.05,0.12,139,12月24日,42.9↗,42.9↗,42.5↘,42.7↘,45.5↘,46.1↗,43.9↘,46.9↘,57.3↘,49.3↗
1530,亞崴,32.95,-0.1,-0.3,15,12月24日,32.8↘,33↘,32.9↗,33.3↘,35.2↘,35.1↗,32.6↗,31.7↗,32↗,33.4↗
1532,勤美,32.6,0,0,83,12月24日,32.5↗,32.3↗,32.3↗,32.1↗,32.6↘,32.7↗,30.8↗,32.1↘,31.3↘,31↗
1536,和大,90.8,-0.1,-0.11,725,12月24日,90.8↗,90.6↘,90.8↘,92↘,95↘,101↘,101↘,104↘,116↘,90↗
1537,廣隆,138,0,0,27,12月24日,138↘,138↘,138↘,139↘,143↘,144↘,143↘,147↘,148↘,122↗
1540,喬福,15.2,0,0,179,12月24日,15.2↘,15.2↗,15↗,14.8↗,15.3↘,15.6↘,15.8↘,16.9↘,16.3↗,17.8↘
1541,錩泰,43.55,0.05,0.11,1,12月24日,43.6↗,43.6↘,43.4↗,43.9↘,45.5↘,49.6↘,46.3↗,41.8↗,43.3↘,33.5↗
1558,伸興,144.5,1,0.7,46,12月24日,144↗,144↘,144↘,147↘,152↘,155↗,144↗,143↗,141↘,140↗
1568,倉佑,23,2.05,9.79,"1,457",12月24日,21.3↗,21.1↗,21↗,21.4↗,23.2↘,25.5↗,21.1↗,20.8↗,25.5↘,
1569,濱川,25.15,0.05,0.2,177,12月24日,25↗,25.1↘,25↗,24.5↘,25.6↘,26.9↘,25.9↘,24.1↗,27.1↘,27.7↘
1582,信錦,69.8,-0.2,-0.29,149,12月24日,69.8↗,69.4↗,68.9↗,69.6↗,72.7↘,79.1↘,81↘,80.1↗,73.9↗,63.2↗
1583,程泰,62.7,0.2,0.32,32,12月24日,62.4→,62.6↘,62.2↘,62.6↗,63.9↘,63.8↗,61.6↗,59.2↗,60.1↗,60.1↗
1586,和勤,42.1,0.25,0.6,321,12月24日,41.3↗,41.1↗,41↗,40.9↗,41.3↘,43.2↗,41↗,38.7↗,37.7↗,
1587,吉茂,26.2,0.35,1.35,210,12月24日,25.8↗,25.5↗,25.4↗,26.1↘,27↘,27.4↗,22.9↗,21.3↗,,
1589,永冠-KY,61.4,0,0,260,12月24日,61.6→,61.5↗,61.3↘,63.3↗,65.9↘,72.3↘,73.4↘,69.4↗,72.5↘,
1591,駿吉-KY,14.55,-0.1,-0.68,61,12月24日,14.7↘,14.7→,14.7↘,15↘,15.4↘,17↘,18.5↘,23.2↘,26.6↘,
1593,祺驊,82.4,-0.4,-0.48,27,12月24日,82.4↗,81.9↘,82.6↘,85.8↘,92.8↘,99.8↗,76.5↗,67.5↗,57.7↗,
1597,直得,87.4,-0.7,-0.79,91,12月24日,86.6↗,85.6↗,85.8↘,86.3↘,94.1↘,102↘,92.8↘,91.7↘,91.7↗,
1598,岱宇,54.5,-0.2,-0.37,105,12月24日,54.6↗,54↘,56.7↘,61↘,68.2↘,86.5↘,80.4↗,66.6↗,55.3↗,
1603,華電,27,0.2,0.75,110,12月24日,26.8↗,26.6↘,26.6↘,26.8↗,27.3↘,28.2↘,28.2↘,26.7↗,25.4↗,18.4↗
1615,大山,31.9,-0.15,-0.47,36,12月24日,32↗,31.9↘,32↘,32.5↗,33.5↘,32.7↗,26.9↗,23.5↗,19.9↗,15.3↗
1618,合機,14.45,0.1,0.7,193,12月24日,14.4↗,14.4↘,14.4↘,14.5↗,14.7↘,14.9↗,12↗,10.8↗,10.1↗,9.67↗
1626,艾美特-KY,19.6,0.5,2.62,283,12月24日,19.2↗,19.1↗,19.2↗,19.7↘,22.4↘,24↘,24.8↘,24.9↗,24.6↘,
1701,中化,22.55,0,0,158,12月24日,22.6↘,22.6↘,22.7↗,22.4↘,23↘,23.1↘,22.6↗,21.3↗,20.4↗,20.3↗
1702,南僑,49.3,0,0,232,12月24日,49.3↘,49.3↗,49.2↘,49.4↘,49.5↘,49.6↗,47.2↘,48.8↗,53.1↘,51.5↗
1707,葡萄王,160.5,-0.5,-0.31,179,12月24日,161↘,161↘,162↘,162↘,164↘,170↘,179↘,185↘,194↘,164↗
1717,長興,37.15,0.1,0.27,"2,672",12月24日,36.8↗,36.6↗,36.5↗,36.8↘,37.7↘,37.6↗,34.1↗,31.2↗,30.8↗,29.8↗
1718,中纖,10,0.01,0.1,"2,901",12月24日,9.97→,9.97→,10↘,10.4↘,10.4↘,10.3↗,8.81↗,8.92→,9.14↗,9.64↘
1730,花仙子,63.2,0.2,0.32,29,12月24日,63.2↘,63.2↘,63.4↘,63.5↘,64.9↘,67.7↘,69.5↘,71.5↗,60.5↗,43.4↗
1734,杏輝,28.7,-0.15,-0.52,422,12月24日,28.8↘,28.8↘,28.8↘,31.6↘,33.2↘,31.8↘,30.7↗,27↗,25.1↗,30.1↗
1736,喬山,56.2,-0.4,-0.71,92,12月24日,56.4↘,56.1↘,57↘,58.2↘,65.7↘,75.4↘,73↘,69.2↗,56.2↗,63.1↘
1760,寶齡富錦,70.5,-0.4,-0.56,186,12月24日,70.6↗,69.8↗,70↗,68.6↘,75.1↘,81.2↘,94.6↘,94↘,,
1762,中化生,64.2,-0.6,-0.93,331,12月24日,64.8↘,65.2↘,65.6↗,66.7↘,68.1↘,64.3↗,58.3↗,48.6↗,39.1↗,40.9↗
1777,生泰,64.3,-0.2,-0.31,38,12月24日,64.2↘,64.3↘,65.3↘,67.9↘,70.6↘,78↘,78.9↘,78.7↘,80.7↘,73.5↗
1781,合世,15.85,0,0,18,12月24日,16↘,16↘,16.1↗,14.7↗,15.9↘,19.5↘,20.5↗,16.9↗,15.9↘,22.8↗
1784,訊聯,39.6,0.05,0.13,71,12月24日,39.4↘,39.8↘,40.8↘,42.2↘,43.3↘,41.7↘,40.2↘,40.1↗,35.1↗,37.3↗
1786,科妍,49.6,0.05,0.1,13,12月24日,49.7↘,49.8↘,49.9↘,49.9↘,52.8↘,54.5↘,59.2↘,62.7↘,59.6↘,
1789,神隆,24.2,0.05,0.21,380,12月24日,24.2↘,24.3↘,24.2→,24.4↘,24.8↘,25.7↘,27.9↘,27↘,30.3↘,44.6↘
1802,台玻,26.6,0.05,0.19,"3,371",12月24日,26.3↗,26↗,26.3→,27.2↘,32↘,28.3↗,19.7↗,17.3↗,16.9↗,20.2↘
1808,潤隆,54.2,-2.8,-4.91,"1,520",12月24日,57.4↘,58.3↘,58.9↘,59.2↘,59.1↘,58.4↘,60↘,60.8↘,55.6↗,44↗
1813,寶利徠,18.1,-0.05,-0.28,18,12月24日,18.2↗,18.1→,18.1↗,17.8↗,18.2↘,18.5↘,20.1↘,21.8↘,21.5↘,27.7↘
1904,正隆,35.9,0.85,2.43,"10,946",12月24日,34.6↗,34.2↗,34.1↗,34.3↘,37.1↘,37.2↗,31.2↗,27.2↗,23.1↗,17.7↗
1909,榮成,24.55,0.35,1.45,"15,339",12月24日,24↗,23.8↗,24↘,24.5↘,26.4↘,25.4↗,20.3↗,18.5↗,23.5↗,17.7↗
2009,第一銅,43.75,-0.65,-1.46,"1,582",12月24日,43.6↗,43.4↗,43.5↘,44.6↘,49.7↘,45.5↗,27.2↗,21.5↗,17↗,12.9↗
2029,盛餘,33.25,-1,-2.92,"1,524",12月24日,34.1↘,33.6↘,33.1↘,33.7↘,39.3↘,33.9↗,26↗,23.8↗,26.4↘,23.4↗
2035,唐榮,36,0.2,0.56,14,12月24日,36.1↘,36.2↘,36.2↘,35.6↗,36.7↘,37↘,37.8↘,38.9↘,41.6↘,39.3↗
2049,上銀,297,2.5,0.85,"1,463",12月24日,292↗,291↗,289↗,296↘,322↘,360↘,326↗,303↗,293↗,258↗
2062,橋椿,27.15,0.1,0.37,299,12月24日,27↗,27↗,27.1↘,27.3↘,28.3↘,28.3↗,25.9↘,28↘,32.1↘,40.2↘
2065,世豐,47.1,-0.2,-0.42,64,12月24日,47.8↘,47.9↘,47.9↘,46.7↗,48.9↘,48.4↗,49.2↗,45.5↗,,
2101,南港,38.85,0.1,0.26,709,12月24日,38.7↗,38.9↘,38.9↘,39.9↘,39.5↗,39.9↘,42↘,40.4↗,35.1↗,34.9↘
2105,正新,36.05,0.25,0.7,"2,275",12月24日,35.8↘,35.8↗,35.2↗,34.8↗,37.7↘,41.8↘,39.5↘,40.4↘,45.9↘,59↘
2106,建大,30.55,0.1,0.33,729,12月24日,30.4↗,30.4↘,30.3↗,30.6↘,33.1↘,35.8↘,32.8↘,31.9↗,35.1↘,43.7↘
2107,厚生,22.65,0.1,0.44,175,12月24日,22.6↗,22.5↘,22.6↘,22.7↘,23.1↘,23.8↘,21.4↗,20.2↗,18.3↗,20.7↗
2108,南帝,84.6,-1.5,-1.74,"3,551",12月24日,86.1↗,83.7↗,83.9↗,83.7↘,99.8↘,101↗,70.8↗,58↗,44.8↗,33.3↗
2114,鑫永銓,120,-1,-0.83,29,12月24日,121↘,121↘,120↗,120↘,132↘,123↗,102↗,96.2↗,90.5↗,87.3↗
2115,六暉-KY,40.35,0.35,0.88,73,12月24日,40.2↗,40.2↘,40.1↗,40.3↘,43.1↘,45.3↘,43.1↘,41.5↗,43.4↘,
2204,中華,63.4,0.5,0.79,290,12月24日,63.2↗,63.3↘,64.1↘,67.6↘,68.7↘,64.4↗,51.6↗,43.9↗,37.2↗,31.7↗
2206,三陽工業,26.6,0.05,0.19,265,12月24日,26.4↗,26.5↘,26.4↘,26.6↘,27.3↘,29.3↘,25.9↗,24.3↗,23↗,24.7↗
2208,台船,21.45,0,0,900,12月24日,21.5↘,21.5↘,21.8↘,21.9↘,23.1↘,23.8↘,23.8↘,24.7↘,22.1↗,19.9↘
2227,裕日車,246.5,-0.5,-0.2,17,12月24日,247↗,247↘,248↘,251↘,257↘,261↘,259↘,258↗,253↗,264↗
2228,劍麟,67.8,-0.1,-0.15,27,12月24日,67.6↗,67.8↘,67.7↘,68.3↘,70.1↘,73.6↘,81.1↘,88↘,101↘,
2230,泰茂,13.9,0.2,1.46,34,12月24日,13.8↗,13.8↗,13.6↗,13.6↘,14.4↘,15.1↗,13.7↗,13.9↗,13.5↗,
2233,宇隆,97.3,2.2,2.31,595,12月24日,95↗,94.8↗,95↗,98.4↘,110↘,106↗,86.7↗,82.1↗,90.4↗,90.2↗
2235,謚源,39.85,-0.6,-1.48,8,12月24日,39.9↗,39.3↗,39.2↗,39↗,40.5↘,41.7↘,44.5↘,50.4↘,66.3↘,
2239,英利-KY,82.5,-0.6,-0.72,106,12月24日,81.6↗,81.3↘,82.1↘,71.2↗,74.6↘,87↘,82.3↘,91.8↘,119↘,
2241,艾姆勒,50.4,0.2,0.4,156,12月24日,49.9↗,49.9↗,50.5↘,54.2↘,56.9↘,57.2↘,,,,
2247,汎德永業,209.5,0,0,38,12月24日,210↗,210↘,210↘,211↘,217↘,227↘,,,,
2302,麗正,16.8,-0.15,-0.88,393,12月24日,16.8↗,16.7↘,16.9↘,16.8↗,17.7↘,19.1↘,14.9↗,12.8↗,10.3↗,8.01↗
2308,台達電,270.5,0.5,0.19,"2,161",12月24日,267↗,268↘,264↗,256↗,269↘,279↗,224↗,198↗,176↗,161↗
2317,鴻海,104,0,0,"11,662",12月24日,104↗,104↘,104↘,106↘,108↘,111↗,95.6↗,89.4↗,90.9↗,88.8↗
2321,東訊,6.25,-0.42,-6.3,12,12月24日,6.62↘,6.54↘,6.4↗,6.42↘,6.59↘,6.9↘,5.02↗,4.08↗,3.58↗,3.02↗
2323,中環,9.17,0.04,0.44,"6,427",12月24日,9.04↗,9.03↗,8.98↗,8.88↗,9.27↘,9.45↗,8.74↘,8.44↗,7.13↗,5.8↗
2327,國巨,473,-3,-0.63,"3,478",12月24日,464↗,458↗,458↗,439↗,480↘,511↘,447↗,397↗,381↗,205↗
2328,廣宇,39.45,0,0,"2,344",12月24日,39.3↗,39.2↗,38.8↗,39.8↗,39.8↘,39.7↗,29.3↗,27.3↗,26.1↗,23.7↗
2331,精英,22.2,-0.3,-1.33,"2,506",12月24日,22.2↗,22.2↘,22.8↘,22.9↘,22.6↗,24.8↘,19↗,16.8↗,17.5↗,17.1↗
2332,友訊,18.6,-0.4,-2.11,"2,705",12月24日,18.6↗,18.6↘,18.5↘,19.2↗,18.8↗,21.2↘,18.5↗,16.5↗,14.6↗,15.5↘
2337,旺宏,41.25,-0.1,-0.24,"6,013",12月24日,41.1↗,40.8↘,41.5↘,39.8↗,40.4↘,41.6↗,37.5↗,33.4↗,32↗,19.5↗
2345,智邦,259,-1,-0.38,"1,079",12月24日,259↗,272↘,282↘,270↘,289↘,287↘,248↗,211↗,161↗,90.9↗
2349,錸德,9.97,0,0,"5,898",12月24日,9.77↗,9.65↗,9.47↗,9.54↗,9.67↗,10.1↘,8.41↗,8.82↘,8.19↗,6.11↗
2352,佳世達,30.05,0,0,"1,927",12月24日,29.9↗,29.9↘,29.9↗,30.4↗,30.1↘,30.3↗,24.6↗,23.2↗,22↗,15.9↗
2354,鴻準,64.6,0,0,"1,321",12月24日,64.2↗,64.2↘,64.5↘,67.2↘,66↘,66.7↗,61.1↘,62↗,70.5↘,78.2↘
2356,英業達,25,0.15,0.6,"2,111",12月24日,24.9↘,25.2↘,25.5↘,26.1↘,25.4↘,25.4↗,24.4↗,23.9↗,23.8↗,21.6↗
2367,燿華,20.25,0.05,0.25,"12,628",12月24日,19.5↗,19.1↗,18.9↗,18.5↗,19.4↘,20.5↘,22.5↘,22.9↗,19.9↗,15.8↗
2373,震旦行,89.8,-0.3,-0.33,16,12月24日,89.9↗,89.8↘,89.9↘,89.2↗,89.7↘,90↗,88.7↘,90.6↘,85.5↗,68.8↗
2375,凱美,97.6,-1.1,-1.11,"2,141",12月24日,98.3↘,99.6↘,106↘,92.8↗,98.1↘,104↗,73.1↗,62.7↗,52.4↗,31.4↗
2385,群光,82.2,0,0,"1,155",12月24日,81.9↗,81.6↗,81.2↗,80.2↗,79.7↗,83.4↘,84.1↘,82.3↗,78.4↗,76.6↗
2387,精元,44.45,-0.55,-1.22,997,12月24日,44.7↘,45.1↘,45.9↗,44.4↘,47.4↘,54.7↘,51↗,42.9↗,32.8↗,24↗
2392,正崴,39,0,0,730,12月24日,38.8↗,38.8↗,38.6↘,38.4↗,39.2↘,42↘,40.9↘,38.8↗,38.6↗,46.8↘
2397,友通,60.2,-0.2,-0.33,18,12月24日,60.2↗,59.9↗,59.3↗,57.2↗,59.5↘,62.4↘,67.7↘,71.3↘,67↗,51.3↗
2402,毅嘉,17.15,0.1,0.59,"1,002",12月24日,16.9↗,17↗,16.8↗,16.3↗,17.1↘,17.6↗,16.4↗,16.1↗,16.7↗,18.6↘
2404,漢唐,178,3.5,2.01,"1,334",12月24日,173↗,173↗,174↘,179↗,187↘,211↘,204↘,181↗,133↗,83.2↗
2408,南亞科,75.7,-0.2,-0.26,"6,948",12月24日,76.2→,76↘,76.3↗,69.9↗,70.1↘,78.6↘,72.2↘,70.1↗,69.3↗,46.8↗
2417,圓剛,30,2.7,9.89,"14,527",12月24日,26.2↗,25.4↗,25.3↗,26.4↘,30.4↘,38.5↘,35.2↗,27.2↗,21↗,17.5↗
2421,建準,42,-0.5,-1.18,"1,496",12月24日,41.4↗,40.8↗,41.3↘,39.7↗,40.6↘,45.4↘,47.7↘,44.3↗,43.6↗,31.9↗
2424,隴華,21.25,0,0,0,12月24日,21.4↗,21↘,21.4↘,22.7↘,22.8↘,24.6↘,22.9↘,25.7↘,27↗,28.5↗
2428,興勤,153.5,-1.5,-0.97,161,12月24日,155↗,154→,153↘,161↘,184↘,181↗,140↗,121↗,105↗,73↗
2433,互盛電,51.1,0,0,28,12月24日,51.1↗,51.2↘,51.2↘,51↗,51.4↘,51.9↘,51.5↘,50.1↗,47.3↗,43.9↗
2439,美律,93.5,-1.4,-1.48,559,12月24日,93.6↗,93.8↘,94.5↘,89.9↗,96.9↘,111↘,129↘,138↘,150↘,117↗
2456,奇力新,93.4,-0.6,-0.64,"1,086",12月24日,91.7↗,90.5↗,90.6↗,86.5↗,93.6↘,99.2↘,102↘,97.3↘,97↗,65.8↗
2458,義隆,169,0,0,"1,095",12月24日,168↗,164↗,163↗,161↗,166↘,176↗,146↗,125↗,93.2↗,69.6↗
2460,建通,27.8,-0.15,-0.54,421,12月24日,28.1↘,28.5↘,28.3↘,25.2↗,27↘,28.7↗,19.7↗,16.5↗,15.1↗,13.4↗
2462,良得電,29.2,-1,-3.31,"1,239",12月24日,28.6↗,28.8↘,28.6→,28.4↗,28.6↘,29.4↘,27.9↗,28.2↗,27.6↗,26.4↗
2464,盟立,42.05,-0.35,-0.83,342,12月24日,42↗,41.9↗,42↘,42↘,42.3↘,43.7↘,41.5↗,42.1↘,42.3↗,34.9↗
2471,資通,25.95,-0.55,-2.08,236,12月24日,25.9↗,25.7↗,25.5↗,24↗,24.4↘,26↘,23.4↗,21.4↗,19↗,17.6↗
2472,立隆電,66.4,1.9,2.95,"2,013",12月24日,64.6↗,64.1↗,65.5↘,63.8↗,67.8↘,68.6↗,57.2↗,51.8↗,51.1↗,38.9↗
2474,可成,156,1,0.65,"1,219",12月24日,155↗,155→,154↗,159↘,168↘,181↘,197↘,209↘,255↘,241↘
2477,美隆電,30.6,0.05,0.16,207,12月24日,30.5↗,30.6↘,31.2↘,29.1↗,29.7↘,31.9↘,27.9↗,26↗,25↗,19.3↗
2478,大毅,64.5,-0.2,-0.31,244,12月24日,64.3↗,64.3↘,65.2↘,63.9↗,65.7↘,71.5↘,71.2↗,63.1↗,54.9↗,35.9↗
2488,漢平,27,0.05,0.19,110,12月24日,27↘,27.2↘,27.1↘,27.3↘,28.5↘,29.8↘,29.7↘,31.9↘,33.1↘,28.9↗
2491,吉祥全,20.95,0.05,0.24,107,12月24日,20.8↗,20.9↘,21.2↘,21.6↘,24.5↘,21.9↗,15.2↗,12.6↗,10.3↗,8.15↗
2492,華新科,166,-3,-1.78,"2,720",12月24日,167↘,166↗,168↘,160↗,176↘,204↘,197↘,189↘,167↗,89.9↗
2496,卓越,49.5,0.1,0.2,25,12月24日,49.6↘,49.5↗,49.4↘,49.4→,50.7↘,53.4↘,58.2↘,66.3↘,102↘,57.4↗
2501,國建,19.2,-0.05,-0.26,172,12月24日,19.2↗,19.2↘,19.3↘,19.4↘,19.6↘,19.7↘,19.7↘,20.6↘,19.5↗,17.6↗
2505,國揚,23.6,0,0,161,12月24日,23.5↗,23.4↘,23.5↘,24.3↘,26.2↘,30↘,26.3↗,21.8↗,18.5↗,16.4↗
2506,太設,9.72,-0.03,-0.31,43,12月24日,9.74↗,9.67↘,9.72↘,9.72↗,9.74↘,9.96↘,9.86↘,10.4↘,10.7↘,11↗
2509,全坤建,18.2,0,0,76,12月24日,18.2→,18.2↘,18.3↘,18.3↘,18.8↘,19↘,19.8↘,22.4↘,22.9↗,22.4↘
2515,中工,8.88,0.03,0.34,"1,835",12月24日,8.85↗,8.84↗,8.82↘,8.82↗,8.82↘,9.04↘,8.22↗,8.07↗,7.73↗,7.66↗
2520,冠德,37.45,0,0,968,12月24日,37.6↘,37.8↘,38.2↘,38.4↘,39.7↘,38.4↗,35.1↗,31.8↗,27.2↗,25.6↗
2528,皇普,21.65,0,0,0,12月24日,21.7↘,21.8↘,21.7→,21.6↘,21.7↘,22.4↘,22↗,20.2↗,18.2↗,14.4↗
2539,櫻花建,31.15,0,0,133,12月24日,31.2↘,31.2↘,31.2→,31.3↘,32↘,31.8↗,31.8↗,30.8↗,29.7↗,28.7↗
2540,愛山林,72.8,0,0,4,12月24日,72.4↗,72.4↘,73.1↘,77.6↘,76.5↗,73.6↘,56.3↗,45.7↗,37.5↗,32.4↗
2545,皇翔,37.2,0.15,0.4,172,12月24日,37.1↗,37↘,37↗,37.3↗,39.2↘,39.5↘,37.7→,35.1↗,34.2↘,41.9↘
2547,日勝生,10.25,0.05,0.49,"1,920",12月24日,10.1↗,10↗,10↗,10.3↘,10.6↘,11↘,10.7↘,11.6↘,12.1↗,15.3↘
2597,潤弘,121,0,0,81,12月24日,121↗,120↗,121↘,124↘,135↘,122↗,91.6↗,79.9↗,63.6↗,56↗
2601,益航,12.95,-0.1,-0.77,"3,987",12月24日,13↗,13↘,13.2↘,13.2↘,15.4↘,13.9↗,11.8↗,11.8↗,10.9↗,15.5↘
2605,新興,29.55,-0.45,-1.5,"5,791",12月24日,30.2↘,30↘,29.7↗,30.2↘,35↘,29.9↗,22.3↗,20.2↗,20↗,22.3↗
2608,嘉里大榮,44.55,-0.05,-0.11,384,12月24日,44.5↘,44.3↘,44.6↗,43.9↘,48.9↘,48.8↘,44.4↗,41.9↗,40.8↗,40.1↗
2611,志信,20,-0.15,-0.74,916,12月24日,20.2↘,20.3↘,20.3↘,21.2↘,26.1↘,20.6↗,13.7↗,11.6↗,9.81↗,10.4↗
2613,中櫃,26.2,-0.3,-1.13,150,12月24日,26.4↗,26.3↘,26.5↘,26.9↘,31↘,27.2↗,20.8↗,18.3↗,16.2↗,16.5↗
2633,台灣高鐵,29.4,0.05,0.17,"2,095",12月24日,29.4↗,29.3↘,29.6↘,29.3↘,29.6↘,29.9↘,31.7↘,33.5↘,29.7↗,
